4	1	9		5.3175	LMS	99.35%	VP	0.65%
4	2	9		9.0712	LMS	96.76%	VP	3.24%
4	3	9		12.8215	LMS	89.99%	VP	10.01%
4	4	9		15.0198	LMS	76.46%	VP	23.54%
4	5	9		14.765	LMS	56.93%	VP	43.07%
4	6	9		12.1267	VP	65.99%	LMS	34.01%
4	7	9		7.1139	VP	86.23%	LMS	13.77%
4	8	9		2.8061	VP	97.06%	LMS	2.94%
4	1	10		5.3649	LMS	99.81%	VP	0.19%
4	2	10		9.2315	LMS	98.21%	VP	1.79%
4	3	10		13.415	LMS	94.1%	VP	5.9%
4	4	10		16.6487	LMS	85.21%	VP	14.79%
4	5	10		18.0379	LMS	70.33%	VP	29.67%
4	6	10		16.7787	LMS	50.21%	VP	49.79%
4	7	10		13.1143	VP	69.72%	LMS	30.28%
4	8	10		7.691	VP	87.67%	LMS	12.33%
4	9	10		2.8967	VP	97.57%	LMS	2.43%
5	1	5		5.5164	LMS	82.82%	VP	17.18%
5	2	5		6.2347	LMS	50.13%	VP	49.87%
5	3	5		4.252	VP	83.73%	LMS	16.27%
5	4	5		1.84	VP	98.02%	LMS	1.98%
5	1	6		6.2309	LMS	91.05%	VP	8.95%
5	2	6		8.3277	LMS	68.0%	VP	32.0%
5	3	6		7.6483	VP	63.33%	LMS	36.67%
5	4	6		4.6091	VP	88.64%	LMS	11.36%
5	5	6		1.7928	VP	98.97%	LMS	1.03%
5	1	7		6.5739	LMS	95.11%	VP	4.89%
5	2	7		9.8211	LMS	80.84%	VP	19.16%
5	3	7		10.7282	LMS	54.93%	VP	45.07%
5	4	7		8.7976	VP	72.2%	LMS	27.8%
5	5	7		4.9614	VP	91.01%	LMS	8.99%
5	6	7		1.8682	VP	99.2%	LMS	0.8%
5	1	8		6.8662	LMS	97.44%	VP	2.56%
5	2	8		10.9312	LMS	88.6%	VP	11.4%
5	3	8		13.3816	LMS	69.83%	VP	30.17%
5	4	8		12.7745	VP	54.94%	LMS	45.06%
5	5	8		9.5472	VP	78.96%	LMS	21.04%
5	6	8		5.079	VP	93.64%	LMS	6.36%
5	7	8		1.8881	VP	99.21%	LMS	0.79%
5	1	9		7.0509	LMS	98.5%	VP	1.5%
5	2	9		11.5775	LMS	93.51%	VP	6.49%
5	3	9		15.3227	LMS	79.98%	VP	20.02%
5	4	9		16.1444	LMS	59.94%	VP	40.06%
5	5	9		14.4864	VP	61.91%	LMS	38.09%
5	6	9		10.4297	VP	82.33%	LMS	17.67%
5	7	9		5.3625	VP	94.43%	LMS	5.57%
5	8	9		1.951	VP	99.33%	LMS	0.67%
5	1	10		7.1422	LMS	99.25%	VP	0.75%
5	2	10		12.1235	LMS	96.14%	VP	3.86%
5	3	10		16.668	LMS	86.79%	VP	13.21%
5	4	10		19.2482	LMS	72.66%	VP	27.34%
5	5	10		19.0546	LMS	52.63%	VP	47.37%
